File,chapter,location,tier,name,weaploc1,weapon1,weaploc2,weapon2,class,0
\zmap\bmap0101\dispos_h.bin,1a,1356,1,Pugo,1262,IID_IRONAXE,,,JID_FIGHTER,0
\zmap\bmap0102\dispos_h.bin,1a,2697,1,Isaiya,2633,IID_STEELSWORD/D,,,JID_BLADE,0
\zmap\bmap0103\dispos_h.bin,1a,4048,1,Zaitan,3906,IID_HANDSPEAR,,,JID_LANCEARMOR,0
\zmap\bmap0104\dispos_h.bin,1b,4547,1,Burton,4397,IID_WINDSWORD,,,JID_SWORDKNIGHT,0
\zmap\bmap0106\dispos_h.bin,1b,6054,1,Wystan,5638,IID_ELFIRE,,,JID_FIREMAGE,0
\zmap\bmap0107\dispos_h.bin,1b,12806,1,Laverton,12966,IID_STEELLANCE,13016,IID_HANDSPEAR,JID_LANCEKNIGHT,0
\zmap\bmap0108\dispos_h.bin,1b,6431,1,Djur,6201,IID_STORMSWORD,,,JID_SWORDARMOR,0
\zmap\bmap0109\dispos_h.bin,1b,5630,2,Radmin,5368,IID_ELTHUNDER,,,JID_THUNDERSAGE,0
\zmap\bmap0201\dispos_h.bin,2a,1940,2,Zeffren,1850,IID_SHORTAXE/D,,,JID_DRAGONMASTER,0
\zmap\bmap0202\dispos_h.bin,2a,2374,2,Yeardley,2443,IID_STEELSPEAR,,,JID_GLORYDUX,0
\zmap\bmap0203\dispos_h.bin,2b,4906,2,Maraj,4314,IID_ELWIND,,,JID_WINDSAGE,0
\zmap\bmap0204\dispos_h.bin,2b,9782,2,Tashoria,9463,IID_WATOU/D,,,JID_SWORDMASTER,0
\zmap\bmap0301\dispos_h.bin,3a,9310,2,Silvano,8678,IID_CROSSBOW/D,,,JID_SNIPER,0
\zmap\bmap0302\dispos_h.bin,3a,5530,2,Rommit,5118,IID_KILLERLANCE,,,JID_HALBERDIER,0
\zmap\bmap0303\dispos_h.bin,3a,7681,2,Istvan,7237,IID_SHORTAXE,,,JID_DRAGONMASTER,0
\zmap\bmap0304\dispos_h.bin,3a,6911,2,Veyona,6840,IID_WORM,,,JID_DRUID,0
\zmap\bmap0305\dispos_h.bin,3a,6099,2,Callum,5833,IID_KILLSWORD,6001,IID_STORMSWORD,JID_BLADEDUX,0
\zmap\bmap0306\dispos_h.bin,3a,8659,2,Lombroso,8343,IID_SILVERPOLEAXE,8315,IID_SHORTAXE,JID_GREATKNIGHT,0
\zmap\bmap0310\dispos_h.bin,3b,4965,2,Roark,4709,IID_SLENDERSPEAR,,,JID_HALBERDIER,0
\zmap\bmap0311\dispos_h.bin,3b,9953,2,Sergei,9422,IID_SILVERBOW/D,,,JID_ARROWKNIGHT,0
\zmap\bmap0312\dispos_h.bin,3b,8322,2,Goran,7685,IID_AQQAR/D,,,JID_WARRIOR,0
\zmap\bmap0401\dispos_h.bin,4a,9205,3,Yuma,8332,IID_BRAVESWORD,,,JID_BLADEKNIGHT_SP,0
\zmap\bmap0402\dispos_h.bin,4a,8157,3,Catalena,7743,IID_SLENDERSPEAR,,,JID_FALCONKNIGHT_SP,0
\zmap\bmap0110\dispos_h.bin,1b,2713,2,Jarod,2593,IID_STEELSPEAR/L,,,JID_HALBERDIER,72
\zmap\bmap0111\dispos_h.bin,1c,6587,2,Jarod,6274,IID_SHORTSPEAR/L,,,JID_HALBERDIER,72
\zmap\bmap0205\dispos_h.bin,2b,10156,2,Ludveck,9946,IID_TOMAHAWK/D,,,JID_GREATDUX,73
\zmap\bmap0309\dispos_h.bin,3b,6489,2,Septimus,6085,IID_SILVERSPEAR/L,,,JID_GLORYDUX,74
\zmap\bmap0403\dispos_h.bin,4a,9612,3,Valtome,9251,IID_VALAURA/D,,,JID_BISHOP_SP,75
\zmap\bmap0404\dispos_h.bin,4b,11279,3,Numida,16368,IID_PURGE,16388,IID_SHINE,JID_BISHOP_SP,76
\zmap\bmap0406\dispos_h.bin,4b,14528,4,Izuka,13978,IID_BARVERT/D,,,JID_SUMMONER,77
\zmap\bmap0407a\dispos_h.bin,T,10007,4,Hetzel,9446,IID_SILENCE,14298,IID_SLEEP,JID_SAINT,78
\zmap\bmap0407a\dispos_h.bin,T,10029,4,Lekain,9407,IID_REXAURA/D,,,JID_SAINT_SP,80
\zmap\bmap0407b\dispos_h.bin,T,10069,4,Levail,9887,IID_ZANEZPHTE/D,,,JID_HOLYLANCER,79
\zmap\bmap0407d\dispos_h.bin,T,6499,4,Sephiran,5910,IID_CREIDDYLED/L,,,JID_CHANCELLOR,83
\zmap\bmap0105\dispos_h.bin,1b,3196,1,Hell,2994,IID_VULNERARY,,,JID_BEASTTRIBE_T,0
\zmap\bmap0105\dispos_h.bin,1b,3208,1,Death,3003,IID_VULNERARY,,,JID_BEASTTRIBE_T,0
