Name,BaseLoc,str,mag,skl,spd,def,res
micaiah,5885,0,1,2,3,4,5
edward,701,0,4,1,2,3,5
leonardo,7325,5,3,1,2,4,0
nolan,4733,3,5,0,4,1,2
laura,7613,2,0,1,4,5,3
sothe,2045,3,4,0,5,1,2
ilyana,413,4,0,2,1,5,3
aran,5117,2,4,0,3,1,5
meg,6173,0,3,1,2,5,4
volug,1181,2,3,1,0,4,5
jill,2813,2,5,1,0,3,4
tauroneo,3485,1,0,2,4,5,3
zihark,3773,0,4,1,2,5,3
fiona,5213,4,0,3,2,5,1
tormod,4157,1,4,2,0,3,5
maurim,6077,0,5,1,4,2,3
vika,4925,2,3,0,1,4,5
nailah,4445,0,5,1,2,3,4
elincia,797,5,3,4,0,1,2
marcia,5693,0,3,5,4,1,2
nealuchi,4349,3,4,5,0,1,2
haar,4829,3,5,0,1,2,4
brom,3677,2,3,4,0,1,5
nephenee,4637,3,4,2,0,5,1
heather,5309,3,4,1,0,5,2
lucia,7229,5,2,0,4,3,1
mordecai,6269,1,5,2,3,0,4
lethe,7421,5,2,0,3,4,1
geoffrey,2717,1,3,0,4,5,2
kieran,1853,2,4,0,1,3,5
astrid,3005,3,1,2,4,5,0
makalov,5789,2,3,0,1,4,5
danved,509,3,2,0,1,4,5
calill,1469,5,2,0,3,4,1
ike,125,3,5,0,1,2,4
titania,3869,0,2,1,3,4,5
soren,3101,4,2,0,3,5,1
mist,5981,5,1,3,0,4,2
rolf,6557,2,3,0,1,4,5
boyd,5597,0,5,1,3,2,4
oscar,989,2,4,0,1,5,3
shinon,2525,4,5,0,1,2,3
gatrie,1373,0,5,3,1,2,4
rhys,1661,4,0,2,3,5,1
mia,7709,3,4,0,1,2,5
ranulf,6653,1,5,0,3,2,4
kyza,1565,5,2,1,0,3,4
lyre,6941,5,0,1,3,4,2
janaff,6365,0,5,1,3,2,4
ulki,605,2,5,3,0,1,4
sigrun,2237,3,1,4,5,2,0
tanith,3581,0,2,4,5,3,1
skrimir,2909,0,5,1,2,3,4
naesala,4541,0,5,2,1,4,3
sanaki,2141,3,0,4,5,2,1
tibarn,3965,0,5,2,1,3,4
pelleas,5501,5,0,3,1,4,2
stefan,3389,3,5,1,0,4,2
oliver,1085,0,1,4,5,2,3
bastian,6461,0,1,3,5,4,2
volke,5021,3,5,0,1,2,4
caineghis,1277,0,5,1,3,2,4
giffca,2621,2,5,0,1,3,4
kurthnaga,1757,2,4,5,0,3,1
ena,317,5,1,3,2,4,0
renning,7517,3,2,1,4,5,0
nasir,4253,5,0,2,3,4,1
gareth,1949,1,3,4,5,0,2
lehran,893,5,0,1,2,4,3
rafiel,6749,4,2,1,5,3,0
leanne,6845,5,0,2,3,4,1
reyson,7037,4,2,1,3,5,0
jarod,27773,0,5,3,4,1,2
ludveck,28253,0,3,4,5,1,2
septimus,29021,0,3,4,5,1,2
valtome,29597,5,1,3,2,4,0
numida,29693,4,1,2,3,5,0
izuka,221,4,1,2,5,3,0
hetzel,5405,1,0,3,5,4,2
levail,7997,0,5,2,3,1,4
lekain,7133,0,1,2,5,3,4
zelgius,3293,0,5,1,3,2,4
dheginsea,4061,1,3,4,5,2,0
sephiran,3197,5,0,1,2,4,3
blackknight,2333,1,2,0,3,4,5
ashera,25661,3,2,4,5,1,0
