class,animation type,copyfolder,copyfile,pastefolder,pastefile
dread fighter,magic,mage2_t_p,mag_1.ga,sworder2_z,mag_2.ga
dread fighter,magic,mage2_t_p,mag2_1.ga,sworder2_z,mag2_1.ga
yasha,magic,mage3_p,mag_1.ga,sworder3_z,mag_2.ga
yasha,magic,mage3_p,mag2_1.ga,sworder3_z,mag2_1.ga
yasha,magic,mage3_p,arc_1.ga,sworder3_z,arc_2.ga
yasha_s,magic,mage3_p,mag_1.ga,sworder3_s,mag_2.ga
yasha_s,magic,mage3_p,mag2_1.ga,sworder3_s,mag2_1.ga
yasha_s,magic,mage3_p,arc_1.ga,sworder3_s,arc_2.ga
lancer,magic,priest2_f,mag_1.ga,soldier2_f,mag_1.ga
lancer,magic,priest2_f,mag2_1.ga,soldier2_f,mag2_1.ga
holy lancer,magic,priest3_f,mag_1.ga,soldier3_f,mag_1.ga
holy lancer,magic,priest3_f,mag2_1.ga,soldier3_f,mag2_1.ga
holy lancer,magic,priest3_f,arc_1.ga,soldier3_f,arc_2.ga
brave,bow,archer3_c,wait_2.ga,fighter3_b,wait_5.ga
brave,bow,archer3_c,move_2.ga,fighter3_b,move_5.ga
brave,bow,archer3_c,twait_2.ga,fighter3_b,twait_5.ga
brave,bow,archer3_c,atk_1.ga,fighter3_b,atk_4.ga
brave,bow,archer3_c,atk2_1.ga,fighter3_b,atk2_4.ga
brave,bow,archer3_c,atku_1.ga,fighter3_b,atku_3.ga
brave,bow,archer3_c,atk2u_1.ga,fighter3_b,atk2u_3.ga
brave,bow,archer3_c,atkd_1.ga,fighter3_b,atkd_3.ga
brave,bow,archer3_c,atk2d_1.ga,fighter3_b,atk2d_3.ga
brave,bow,archer3_c,arc_1.ga,fighter3_b,arc_2.ga
brave,bow,archer3_c,tack_2.ga,fighter3_b,tack_5.ga
brave,bow,archer3_c,avoid_2.ga,fighter3_b,avoid_5.ga
brave,bow,archer3_c,poise_2.ga,fighter3_b,poise_5.ga
brave,bow,archer3_c,damage_2.ga,fighter3_b,damage_5.ga
brave,bow,archer3_c,dead_2.ga,fighter3_b,dead_5.ga
brave,bow,archer3_c,up_2.ga,fighter3_b,up_5.ga
brave,bow,archer3_c,down_2.ga,fighter3_b,down_5.ga
brave_n,bow,archer3_c,wait_2.ga,fighter3_n,wait_5.ga
brave_n,bow,archer3_c,move_2.ga,fighter3_n,move_5.ga
brave_n,bow,archer3_c,twait_2.ga,fighter3_n,twait_5.ga
brave_n,bow,archer3_c,atk_1.ga,fighter3_n,atk_4.ga
brave_n,bow,archer3_c,atk2_1.ga,fighter3_n,atk2_4.ga
brave_n,bow,archer3_c,atku_1.ga,fighter3_n,atku_3.ga
brave_n,bow,archer3_c,atk2u_1.ga,fighter3_n,atk2u_3.ga
brave_n,bow,archer3_c,atkd_1.ga,fighter3_n,atkd_3.ga
brave_n,bow,archer3_c,atk2d_1.ga,fighter3_n,atk2d_3.ga
brave_n,bow,archer3_c,arc_1.ga,fighter3_n,arc_2.ga
brave_n,bow,archer3_c,tack_2.ga,fighter3_n,tack_5.ga
brave_n,bow,archer3_c,avoid_2.ga,fighter3_n,avoid_5.ga
brave_n,bow,archer3_c,poise_2.ga,fighter3_n,poise_5.ga
brave_n,bow,archer3_c,damage_2.ga,fighter3_n,damage_5.ga
brave_n,bow,archer3_c,dead_2.ga,fighter3_n,dead_5.ga
brave_n,bow,archer3_c,up_2.ga,fighter3_n,up_5.ga
brave_n,bow,archer3_c,down_2.ga,fighter3_n,down_5.ga
trickster,staff,priest2_k,wait_2.ga,thief2_s,wait_2.ga
trickster,staff,priest2_k,move_2.ga,thief2_s,move_2.ga
trickster,staff,priest2_k,twait_2.ga,thief2_s,twait_2.ga
trickster,staff,priest2_k,atk_1.ga,thief2_s,atk_2.ga
trickster,staff,priest2_k,atk2_1.ga,thief2_s,atk2_2.ga
trickster,staff,priest2_k,rod_2.ga,thief2_s,rod_1.ga
trickster,staff,priest2_k,tack_2.ga,thief2_s,tack_2.ga
trickster,staff,priest2_k,avoid_2.ga,thief2_s,avoid_2.ga
trickster,staff,priest2_k,poise_2.ga,thief2_s,poise_2.ga
trickster,staff,priest2_k,damage_2.ga,thief2_s,damage_2.ga
trickster,staff,priest2_k,dead_2.ga,thief2_s,dead_2.ga
trickster,staff,priest2_k,up_2.ga,thief2_s,up_2.ga
trickster,staff,priest2_k,down_2.ga,thief2_s,down_2.ga
trickster,staff,priest2_k,flip_1.ga,thief2_s,flip_2.ga
trickster,staff,priest2_k,flip2_1.ga,thief2_s,flip2_2.ga
lightning thief,staff,priest3_k,wait_2.ga,thief3_s,wait_2.ga
lightning thief,staff,priest3_k,move_2.ga,thief3_s,move_2.ga
lightning thief,staff,priest3_k,twait_2.ga,thief3_s,twait_2.ga
lightning thief,staff,priest3_k,atk_1.ga,thief3_s,atk_2.ga
lightning thief,staff,priest3_k,atk2_1.ga,thief3_s,atk2_2.ga
lightning thief,staff,priest3_k,rod_1.ga,thief3_s,rod_1.ga
lightning thief,staff,priest3_k,tack_2.ga,thief3_s,tack_2.ga
lightning thief,staff,priest3_k,avoid_2.ga,thief3_s,avoid_2.ga
lightning thief,staff,priest3_k,poise_2.ga,thief3_s,poise_2.ga
lightning thief,staff,priest3_k,damage_2.ga,thief3_s,damage_2.ga
lightning thief,staff,priest3_k,dead_2.ga,thief3_s,dead_2.ga
lightning thief,staff,priest3_k,up_2.ga,thief3_s,up_2.ga
lightning thief,staff,priest3_k,down_2.ga,thief3_s,down_2.ga
lightning thief,staff,priest3_k,flip_1.ga,thief3_s,flip_2.ga
lightning thief,staff,priest3_k,flip2_1.ga,thief3_s,flip2_2.ga
lightning thief,magic,priest3_k,mag_1.ga,thief3_s,mag_2.ga
lightning thief,magic,priest3_k,mag2_1.ga,thief3_s,mag2_2.ga
