file,location,item
\zmap\bmap0101\dispos_h.bin,1251,IID_HERB/D
\zmap\bmap0104\dispos_h.bin,4143,IID_BATTLEWISE
\zmap\bmap0104\dispos_h.bin,4158,IID_DOORKEY/D
\zmap\bmap0106\dispos_h.bin,5808,IID_MASTERPROOF/D
\zmap\bmap0106\dispos_h.bin,5835,IID_SHINEBARRIER
\zmap\bmap0106\dispos_h.bin,5960,IID_VULNERARY/D
\zmap\bmap0107\dispos_h.bin,12500,IID_PARAGON/D
\zmap\bmap0107\dispos_h.bin,12514,IID_REDGEM/D
\zmap\bmap0108\dispos_h.bin,5928,IID_DOORKEY/D
\zmap\bmap0110\dispos_h.bin,2649,IID_VULNERARY/D
\zmap\bmap0202\dispos_h.bin,2081,IID_DETOXDRUG/D
\zmap\bmap0202\dispos_h.bin,2154,IID_HERB/D
\zmap\bmap0202\dispos_h.bin,2289,IID_VULNERARY/D
\zmap\bmap0203\dispos_h.bin,4502,IID_SECRETBOOK/D
\zmap\bmap0203\dispos_h.bin,4410,IID_JACKLIGHT/D
\zmap\bmap0203\dispos_h.bin,4618,IID_VULNERARY/D
\zmap\bmap0204\dispos_h.bin,9278,IID_SPEEDWING/D
\zmap\bmap0204\dispos_h.bin,9447,IID_VULNERARY/D
\zmap\bmap0205\dispos_h.bin,9523,IID_DEATHCARD
\zmap\bmap0205\dispos_h.bin,9537,IID_DRAGONSHIELD
\zmap\bmap0205\dispos_h.bin,9579,IID_ENERGYDROP/D
\zmap\bmap0205\dispos_h.bin,9596,IID_EXPERT/D
\zmap\bmap0303\dispos_h.bin,7250,IID_STATUESPALL
\zmap\bmap0303\dispos_h.bin,7088,IID_DEATHCARD
\zmap\bmap0303\dispos_h.bin,7102,IID_ELIXIR
\zmap\bmap0304\dispos_h.bin,6618,IID_SHADE/D
\zmap\bmap0304\dispos_h.bin,6540,IID_GODDESSICON/D
\zmap\bmap0304\dispos_h.bin,6825,IID_WHITEGEM/D
\zmap\bmap0305\dispos_h.bin,6030,IID_VULNERARY/D
\zmap\bmap0306\dispos_h.bin,8215,IID_ENERGYDROP
\zmap\bmap0306\dispos_h.bin,8127,IID_COIN/D
\zmap\bmap0306\dispos_h.bin,8478,IID_VULNERARY/D
\zmap\bmap0307\dispos_h.bin,7026,IID_VULNERARY/D
\zmap\bmap0307\dispos_h.bin,6865,IID_OLIVI/D
\zmap\bmap0309\dispos_h.bin,6032,IID_HOLYWATER
\zmap\bmap0310\dispos_h.bin,4726,IID_SPEEDWING/D
\zmap\bmap0314\dispos_h.bin,12997,IID_OLIVI/D
\zmap\bmap0402\dispos_h.bin,7540,IID_HOLYWATER
\zmap\bmap0403\dispos_h.bin,8786,IID_COIN/D
\zmap\bmap0403\dispos_h.bin,8952,IID_PANAX/D
\zmap\bmap0404\dispos_h.bin,10311,IID_CONCOCTION/D
\zmap\bmap0405\dispos_h.bin,10897,IID_DOORKEY/D
\zmap\bmap0407a\dispos_h.bin,9098,IID_CONCOCTION/D
\zmap\bmap0407a\dispos_h.bin,9250,IID_PANAX
\zmap\bmap0407a\dispos_h.bin,9260,IID_PANAX/D
\zmap\bmap0407b\dispos_h.bin,9424,IID_PANAX
\zmap\bmap0407b\dispos_h.bin,9434,IID_PANAX/D
\zmap\bmap0407b\dispos_h.bin,9269,IID_CONCOCTION/D
