JID,growthLocation
Brave,42256
Vanguard,42392
Blade,42528
JID_SWORDMASTER,42664
JID_SWORDMASTER_F,42800
JID_SWORDMASTER_SP,42936
JID_SWORDESCHATOS,43072
JID_SWORDESCHATOS_F,43208
JID_SOLDIER,43344
JID_HALBERDIER,43480
JID_HALBERDIER_F,43616
JID_HALBERDIER_SP,43752
JID_HOLYLANCER,43888
JID_HOLYLANCER_F,44024
JID_FIGHTER,44160
JID_WARRIOR,44296
JID_WARRIOR_SP,44432
JID_AXBRAVE,44568
JID_ARCHER,44704
JID_SNIPER,44840
JID_SNIPER_SP,44976
JID_SAGITTARY,45112
JID_LANCEARMOR,45248
JID_AXARMOR,45384
JID_SWORDARMOR,45520
JID_SWORDARMOR_F,45656
JID_GLORYDUX,45792
JID_GREATDUX,45928
JID_BLADEDUX,46064
JID_BLADEDUX_F,46200
JID_GLORYDUX_SP,46336
JID_GREATDUX_SP,46472
JID_BLADEDUX_SP,46608
JID_MARSHAL_L,46744
JID_MARSHAL_A,46880
JID_MARSHAL_S/F,47016
JID_MARSHAL_Z,47152
JID_DARKKNIGHT,47288
JID_THIEF,47424
JID_ROGUE,47560
JID_ROGUE_F,47696
JID_ESPION,47832
JID_ESPION_F,47968
JID_ASSASSIN,48104
JID_BANDIT,48240
JID_FIREMAGE,48376
JID_THUNDERMAGE,48512
JID_THUNDERMAGE_F,48648
JID_WINDMAGE,48784
JID_LIGHTMAGE,48920
JID_FIRESAGE,49056
JID_FIRESAGE_F,49192
JID_THUNDERSAGE,49328
JID_THUNDERSAGE_F,49464
JID_WINDSAGE,49600
JID_LIGHTSAGE,49736
JID_DARKSAGE,49872
JID_FIRESAGE_SP,50008
JID_THUNDERSAGE_SP,50144
JID_WINDSAGE_SP,50280
JID_ARCHSAGE_F,50416
JID_ARCHSAGE_F/F,50552
JID_ARCHSAGE_T,50688
JID_ARCHSAGE_T/F,50824
JID_ARCHSAGE_W,50960
JID_SHAMAN,51096
JID_CAESER,51232
JID_CHANCELLOR,51368
JID_DRUID,51504
JID_DRUID_SP,51640
JID_SUMMONER,51776
JID_PRIEST,51912
JID_PRIEST_F,52048
JID_BISHOP,52184
JID_BISHOP_F,52320
JID_BISHOP_SP,52456
JID_SAINT,52592
JID_SAINT_F,52728
JID_SAINT_SP,52864
JID_CLERIC,53000
JID_VALKYRIA,53136
JID_SWORDKNIGHT,53272
JID_LANCEKNIGHT,53408
JID_LANCEKNIGHT_F,53544
JID_AXEKNIGHT,53680
JID_BOWKNIGHT,53816
JID_BLADEKNIGHT,53952
JID_GLORYKNIGHT,54088
JID_GLORYKNIGHT_F,54224
JID_GREATKNIGHT,54360
JID_GREATKNIGHT_F,54496
JID_ARROWKNIGHT,54632
JID_ARROWKNIGHT_F,54768
JID_BLADEKNIGHT_SP,54904
JID_GLORYKNIGHT_SP,55040
JID_GREATKNIGHT_SP,55176
JID_ARROWKNIGHT_SP,55312
JID_GOLDKNIGHT_S,55448
JID_GOLDKNIGHT_A,55584
JID_GOLDKNIGHT_A/F,55720
JID_SILVERKNIGHT_L,55856
JID_SILVERKNIGHT_L/F,55992
JID_SILVERKNIGHT_B,56128
JID_PEGASUSKNIGHT,56264
JID_FALCONKNIGHT,56400
JID_FALCONKNIGHT_SP,56536
JID_ENLILKNIGHT,56672
JID_QUEEN,56808
JID_DRAGONKNIGHT,56944
JID_DRAGONKNIGHT_F,57080
JID_DRAGONMASTER,57216
JID_DRAGONMASTER_F,57352
JID_DRAGONMASTER_SP,57488
JID_RLINDWURM,57624
JID_RLINDWURM_F,57760
JID_BEASTTRIBE_L,57896
JID_LION,58032
JID_KINGLION_GI,58168
JID_LION_GI,58304
JID_KINGLION,58440
JID_LION_CA,58576
JID_BEASTTRIBE_T,58712
JID_TIGER,58848
JID_BEASTTRIBE_C,58984
JID_CAT,59120
JID_BEASTTRIBE_C/F,59256
JID_CAT_F,59392
JID_BEASTTRIBE_W,59528
JID_WOLF,59664
JID_QUEENWOLF,59800
JID_WOLF_F,59936
JID_BIRDTRIBE_H,60072
JID_HAWK,60208
JID_KINGHAWK,60344
JID_HAWK_TI,60480
JID_BIRDTRIBE_C,60616
JID_CROW,60752
JID_BIRDTRIBE_C/F,60888
JID_CROW_F,61024
JID_KINGCROW,61160
JID_CROW_NA,61296
JID_PRINCEEGRET,61432
JID_EGRET,61568
JID_PRINCEEGRET_RA,61704
JID_EGRET_RA,61840
JID_PRINCESSEGRET,61976
JID_EGRET_LE,62112
JID_DRAGONTRIBE_R,62248
JID_REDDRAGON,62384
JID_DRAGONTRIBE_R/F,62520
JID_REDDRAGON_F,62656
JID_DRAGONTRIBE_W,62792
JID_WHITEDRAGON,62928
JID_DRAGONKING,63064
JID_BLACKDRAGON,63200
JID_DRAGONPRINCE,63336
JID_BLACKDRAGON_KU,63472
