PID,Charblock Address
PID_GOON,8089
PID_GOON_THIEF,8185
PID_GOON_ROGUE,8281
PID_BEGNIONSOLDIER,8569
PID_BEGNIONARCHER,8665
PID_BEGNIONSARMOR,8761
PID_BEGNIONLARMOR,8857
PID_BEGNIONAARMOR,8953
PID_BEGNIONSKNIGHT,9049
PID_BEGNIONLKNIGHT,9145
PID_BEGNIONAKNIGHT,9241
PID_BEGNIONBKNIGHT,9337
PID_BEGNIONPKNIGHT,9433
PID_BEGNIONDKNIGHT,9529
PID_BEGNIONFMAGE,9625
PID_BEGNIONTMAGE,9721
PID_BEGNIONWMAGE,9817
PID_BEGNIONFIGHTER,9913
PID_BEGNIONBLADE,10009
PID_BEGNIONPRIEST,10105
PID_BEGNIONSOLDIER2,10201
PID_BEGNIONARCHER2,10297
PID_BEGNIONSARMOR2,10393
PID_BEGNIONLARMOR2,10489
PID_BEGNIONAARMOR2,10585
PID_BEGNIONSKNIGHT2,10681
PID_BEGNIONLKNIGHT2,10777
PID_BEGNIONAKNIGHT2,10873
PID_BEGNIONBKNIGHT2,10969
PID_BEGNIONPKNIGHT2,11065
PID_BEGNIONDKNIGHT2,11161
PID_BEGNIONFMAGE2,11257
PID_BEGNIONTMAGE2,11353
PID_BEGNIONWMAGE2,11449
PID_BEGNIONBLADE2,11641
PID_BEGNIONFIGHTER2,11737
PID_BEGNIONPRIEST2,11833
PID_BEGNIONSOLDIER_M,11929
PID_CLUPEASOLDIER2,12025
PID_CLUPEAARCHER2,12121
PID_CLUPEASARMOR2,12217
PID_CLUPEALARMOR2,12313
PID_CLUPEAAARMOR2,12409
PID_CLUPEASKNIGHT2,12505
PID_CLUPEALKNIGHT2,12601
PID_CLUPEAAKNIGHT2,12697
PID_CLUPEABKNIGHT2,12793
PID_CLUPEADKNIGHT2,12889
PID_CLUPEABLADE2,12985
PID_CLUPEAFIGHTER2,13081
PID_CLUPEAPRIEST2,13177
PID_DAYNESOLDIER,13273
PID_DAYNEARCHER,13369
PID_DAYNESARMOR,13465
PID_DAYNELARMOR,13561
PID_DAYNEAARMOR,13657
PID_DAYNESKNIGHT,13753
PID_DAYNELKNIGHT,13849
PID_DAYNEAKNIGHT,13945
PID_DAYNEBKNIGHT,14041
PID_DAYNEDKNIGHT,14137
PID_DAYNEFMAGE,14233
PID_DAYNETMAGE,14329
PID_DAYNEWMAGE,14425
PID_DAYNEBLADE,14521
PID_DAYNEFIGHTER,14617
PID_DAYNEPRIEST,14713
PID_DAYNESOLDIER2,14809
PID_DAYNEARCHER2,14905
PID_DAYNESARMOR2,15001
PID_DAYNELARMOR2,15097
PID_DAYNEAARMOR2,15193
PID_DAYNESKNIGHT2,15289
PID_DAYNELKNIGHT2,15385
PID_DAYNEAKNIGHT2,15481
PID_DAYNEBKNIGHT2,15577
PID_DAYNEDKNIGHT2,15673
PID_DAYNEFMAGE2,15769
PID_DAYNETMAGE2,15865
PID_DAYNEWMAGE2,15961
PID_DAYNEDRUID,16057
PID_DAYNEBLADE2,16153
PID_DAYNEFIGHTER2,16249
PID_DAYNEPRIEST2,16345
PID_CRIMEASOLDIER,16441
PID_CRIMEAARCHER,16537
PID_CRIMEASARMOR,16633
PID_CRIMEALARMOR,16729
PID_CRIMEAAARMOR,16825
PID_CRIMEASKNIGHT,16921
PID_CRIMEALKNIGHT,17017
PID_CRIMEAAKNIGHT,17113
PID_CRIMEABKNIGHT,17209
PID_CRIMEAFMAGE,17305
PID_CRIMEATMAGE,17401
PID_CRIMEAWMAGE,17497
PID_CRIMEABLADE,17593
PID_CRIMEAFIGHTER,17689
PID_CRIMEAPRIEST,17785
PID_CRIMEASOLDIER2,17881
PID_CRIMEAARCHER2,17977
PID_CRIMEASARMOR2,18073
PID_CRIMEALARMOR2,18169
PID_CRIMEAAARMOR2,18265
PID_CRIMEASKNIGHT2,18361
PID_CRIMEALKNIGHT2,18457
PID_CRIMEAAKNIGHT2,18553
PID_CRIMEABKNIGHT2,18649
PID_CRIMEAFMAGE2,18745
PID_CRIMEATMAGE2,18841
PID_CRIMEAWMAGE2,18937
PID_CRIMEADRUID,19033
PID_CRIMEABLADE2,19129
PID_CRIMEAFIGHTER,19225
PID_CRIMEAPRIEST2,19321
PID_REBELLIONSOLDIER,19417
PID_REBELLIONARCHER,19513
PID_REBELLIONSARMOR,19609
PID_REBELLIONLARMOR,19705
PID_REBELLIONAARMOR,19801
PID_REBELLIONSKNIGHT,19897
PID_REBELLIONLKNIGHT,19993
PID_REBELLIONAKNIGHT,20089
PID_REBELLIONBKNIGHT,20185
PID_REBELLIONFMAGE,20281
PID_REBELLIONTMAGE,20377
PID_REBELLIONWMAGE,20473
PID_REBELLIONSOLDIER3,20569
PID_REBELLIONARCHER3,20665
PID_REBELLIONBLADE,20761
PID_REBELLIONFIGHTER,20857
PID_REBELLIONSARMOR3,20953
PID_REBELLIONLARMOR3,21049
PID_REBELLIONAARMOR3,21145
PID_REBELLIONSKNIGHT3,21241
PID_REBELLIONLKNIGHT3,21337
PID_REBELLIONAKNIGHT3,21433
PID_REBELLIONPRIEST,21529
PID_REBELLIONSOLDIER2,21625
PID_REBELLIONARCHER2,21721
PID_REBELLIONSARMOR2,21817
PID_REBELLIONLARMOR2,21913
PID_REBELLIONAARMOR2,22009
PID_REBELLIONSKNIGHT2,22105
PID_REBELLIONLKNIGHT2,22201
PID_REBELLIONAKNIGHT2,22297
PID_REBELLIONBKNIGHT2,22393
PID_REBELLIONFMAGE2,22489
PID_REBELLIONTMAGE2,22585
PID_REBELLIONWMAGE2,22681
PID_REBELLIONDRUID,22777
PID_REBELLIONSOLDIER4,22873
PID_REBELLIONARCHER4,22969
PID_REBELLIONBLADE2,23065
PID_REBELLIONFIGHTER2,23161
PID_REBELLIONPRIEST2,23257
PID_REBELLIONBLADE2,23353
PID_REBELLIONFIGHTER2_B,23449
PID_APOSTLESOLDIER,23545
PID_APOSTLEARCHER,23641
PID_APOSTLESARMOR,23737
PID_APOSTLELARMOR,23833
PID_APOSTLEAARMOR,23929
PID_APOSTLESKNIGHT,24025
PID_APOSTLELKNIGHT,24121
PID_APOSTLEAKNIGHT,24217
PID_APOSTLEBKNIGHT,24313
PID_APOSTLEPKNIGHT,24409
PID_APOSTLEDKNIGHT,24505
PID_APOSTLEFMAGE,24601
PID_APOSTLETMAGE,24697
PID_APOSTLEWMAGE,24793
PID_APOSTLEDRUID,24889
PID_APOSTLEBLADE,24985
PID_APOSTLEFIGHTER,25081
PID_APOSTLEPRIEST,25177
PID_FIRESPIRIT,25273
PID_THUNDERSPIRIT,25369
PID_WINDSPIRIT,25465
PID_MARADSKNIGHT,29785
PID_MARADLKNIGHT,29881
PID_MARADAKNIGHT,29977
PID_MARADBKNIGHT,30073
