File,chapter,location,tier,weaploc1,weapon1,weaploc2,weapon2,weaploc3,weapon3,weaploc4,weapon4,weaploc5,weapon5,weaploc6,weapon6,class,classtype,outputchapter,weapontype
\zmap\bmap0101\dispos_h.bin,1a,1335,1,1211,IID_BRONZEAXE,,,,,,,,,,,BANDIT,I,1_P,A
\zmap\bmap0102\dispos_h.bin,1a,2664,1,2486,IID_BRONZEBOW,2570,IID_IRONBOW,,,,,,,,,ARCHER,I,1_1,B
\zmap\bmap0102\dispos_h.bin,1a,2685,1,2472,IID_BRONZEAXE,2532,IID_HANDAXE,2558,IID_IRONAXE,,,,,,,FIGHTER,I,1_1,A
\zmap\bmap0102\dispos_h.bin,1a,2711,1,2500,IID_BRONZELANCE,2544,IID_HANDSPEAR,2582,IID_IRONLANCE,,,,,,,SOLDIER,I,1_1,L
\zmap\bmap0102\dispos_h.bin,1a,2675,1,2516,IID_BRONZESWORD,2596,IID_IRONSWORD,,,,,,,,,BLADE,I,1_1,S
\zmap\bmap0103\dispos_h.bin,1a,4015,1,3938,IID_STEELBOW/D,3742,IID_BRONZEBOW,3857,IID_IRONBOW,,,,,,,ARCHER,I,1_2,B
\zmap\bmap0103\dispos_h.bin,1a,4026,1,3883,IID_IRONSWORD,,,,,,,,,,,BLADE,I,1_2,S
\zmap\bmap0103\dispos_h.bin,1a,4036,1,3728,IID_BRONZEAXE,3831,IID_IRONAXE,,,,,,,,,FIGHTER,I,1_2,A
\zmap\bmap0103\dispos_h.bin,1a,4100,1,3773,IID_BRONZELANCE,3869,IID_IRONLANCE,3953,IID_STEELLANCE,3817,IID_HANDSPEAR,,,,,SOLDIER,I,1_2,L
\zmap\bmap0104\dispos_h.bin,1b,4411,1,4318,IID_STEELBOW,4247,IID_IRONLONGBOW,,,,,,,,,ARCHER,I,1_3,B
\zmap\bmap0104\dispos_h.bin,1b,4422,1,4277,IID_HANDAXE,,,,,,,,,,,AXARMOR,A,1_3,A
\zmap\bmap0104\dispos_h.bin,1b,4434,1,4346,IID_STEELSWORD,,,,,,,,,,,BLADE,I,1_3,S
\zmap\bmap0104\dispos_h.bin,1b,4444,1,4305,IID_STEELAXE,4186,IID_HANDAXE,,,,,,,,,FIGHTER,I,1_3,A
\zmap\bmap0104\dispos_h.bin,1b,4456,1,4286,IID_HANDSPEAR,,,,,,,,,,,LANCEARMOR,A,1_3,L
\zmap\bmap0104\dispos_h.bin,1b,4520,1,4331,IID_STEELLANCE,4198,IID_HANDSPEAR,,,,,,,,,SOLDIER,I,1_3,L
\zmap\bmap0104\dispos_h.bin,1b,4532,1,4361,IID_STEELSWORD,,,,,,,,,,,SWORDARMOR,A,1_3,S
\zmap\bmap0106\dispos_h.bin,1b,5976,1,5710,IID_IRONBOW,5881,IID_STEELBOW,,,,,,,,,ARCHER,I,1_5,B
\zmap\bmap0106\dispos_h.bin,1b,5987,1,5909,IID_STEELSWORD,,,,,,,,,,,BLADE,I,1_5,S
\zmap\bmap0106\dispos_h.bin,1b,6016,1,5698,IID_IRONAXE,5868,IID_STEELAXE,5672,IID_HANDAXE,,,,,,,FIGHTER,I,1_5,A
\zmap\bmap0106\dispos_h.bin,1b,6028,1,5663,IID_FIRE,,,,,,,,,,,FIREMAGE,M,1_5,F
\zmap\bmap0106\dispos_h.bin,1b,6068,1,5799,IID_LIVE,,,,,,,,,,,PRIEST,H,1_5,H
\zmap\bmap0106\dispos_h.bin,1b,6102,1,5894,IID_STEELLANCE,5684,IID_HANDSPEAR,,,,,,,,,SOLDIER,I,1_5,L
\zmap\bmap0107\dispos_h.bin,1b,12709,1,12582,IID_STEELBOW,,,,,,,,,,,ARCHER,I,1_6,B
\zmap\bmap0107\dispos_h.bin,1b,12720,1,12364,IID_HANDAXE,12351,IID_HAMMER/D,,,,,,,,,AXARMOR,A,1_6,A
\zmap\bmap0107\dispos_h.bin,1b,12732,1,12292,IID_STEELAXE,12308,IID_HANDAXE,,,,,,,,,AXEKNIGHT,C,1_6,A
\zmap\bmap0107\dispos_h.bin,1b,12746,1,12467,IID_KILLSWORD,12428,IID_STEELSWORD,,,,,,,,,BLADE,I,1_6,S
\zmap\bmap0107\dispos_h.bin,1b,12756,1,12458,IID_STEELBOW,,,,,,,,,,,BOWKNIGHT,C,1_6,B
\zmap\bmap0107\dispos_h.bin,1b,12825,1,12569,IID_STEELAXE,12481,IID_HANDAXE,,,,,,,,,FIGHTER,I,1_6,A
\zmap\bmap0107\dispos_h.bin,1b,12837,1,12326,IID_ELFIRE,,,,,,,,,,,FIREMAGE,M,1_6,F
\zmap\bmap0107\dispos_h.bin,1b,12863,1,12376,IID_HANDSPEAR,,,,,,,,,,,LANCEARMOR,A,1_6,L
\zmap\bmap0107\dispos_h.bin,1b,12878,1,12527,IID_STEELLANCE,12553,IID_HANDSPEAR,,,,,,,,,LANCEKNIGHT,C,1_6,L
\zmap\bmap0107\dispos_h.bin,1b,12955,1,12491,IID_LIVE,,,,,,,,,,,PRIEST,H,1_6,H
\zmap\bmap0107\dispos_h.bin,1b,12989,1,12595,IID_STEELLANCE,12610,IID_STEELLANCE/D,12402,IID_HANDSPEAR,,,,,,,SOLDIER,I,1_6,L
\zmap\bmap0107\dispos_h.bin,1b,13001,1,12695,IID_WINDSWORD,12627,IID_STEELSWORD,12642,IID_STEELSWORD/D,,,,,,,SWORDARMOR,A,1_6,S
\zmap\bmap0107\dispos_h.bin,1b,13033,1,12414,IID_STEELSWORD,12444,IID_WINDSWORD,,,,,,,,,SWORDKNIGHT,C,1_6,S
\zmap\bmap0107\dispos_h.bin,1b,13065,1,12669,IID_THUNDER,12337,IID_ELTHUNDER,,,,,,,,,THUNDERMAGE,M,1_6,T
\zmap\bmap0108\dispos_h.bin,1b,6261,1,6158,IID_STEELBOW,6060,IID_IRONLONGBOW,,,,,,,,,ARCHER,I,1_7,B
\zmap\bmap0108\dispos_h.bin,1b,6272,1,5987,IID_HANDAXE,,,,,,,,,,,AXARMOR,A,1_7,A
\zmap\bmap0108\dispos_h.bin,1b,6319,1,6186,IID_STEELSWORD,6034,IID_IRONBLADE,,,,,,,,,BLADE,I,1_7,S
\zmap\bmap0108\dispos_h.bin,1b,6329,1,6106,IID_HANDAXE,6145,IID_STEELAXE,,,,,,,,,FIGHTER,I,1_7,A
\zmap\bmap0108\dispos_h.bin,1b,6341,1,5942,IID_ELFIRE,,,,,,,,,,,FIREMAGE,M,1_7,F
