PID,growths->hp,str,mag,skl,spd,lck,def,res
PID_ERLAN,60,0,70,40,30,75,15,55
PID_JELD,55,35,35,30,30,50,55,20
PID_RUDBECK,60,40,45,25,25,40,50,50
PID_NOSE,55,40,25,30,25,40,50,20
PID_VALTELOME,40,15,60,25,35,65,10,70
PID_NUMIDA,45,25,50,30,30,65,20,55
PID_IZCA,65,5,80,45,40,5,5,85
PID_HETZEL,50,15,55,30,40,50,15,55
PID_RUBALE,70,60,25,40,30,40,45,25
PID_LEKAIN,50,15,60,30,40,55,15,65
PID_ZELGIUS,60,40,15,50,45,55,30,20
PID_DHEGINHANSEA,95,60,15,20,25,50,25,50
PID_CEPHERAN,70,10,75,25,25,60,15,60
PID_DARKKNIGHT_0,75,55,10,50,15,55,45,15
PID_ASTARTE,50,50,50,50,50,50,50,50
