JID,location of weap caps
JID_BRAVE,42176
JID_VANGUARD,42312
JID_BLADE,42448
JID_SWORDMASTER,42584
JID_SWORDMASTER_F,42720
JID_SWORDMASTER_SP,42856
JID_SWORDESCHATOS,42992
JID_SWORDESCHATOS_F,43128
JID_SOLDIER,43264
JID_HALBERDIER,43400
JID_HALBERDIER_F,43536
JID_HALBERDIER_SP,43672
JID_HOLYLANCER,43808
JID_HOLYLANCER_F,43944
JID_FIGHTER,44080
JID_WARRIOR,44216
JID_WARRIOR_SP,44352
JID_AXBRAVE,44488
JID_ARCHER,44624
JID_SNIPER,44760
JID_SNIPER_SP,44896
JID_SAGITTARY,45032
JID_LANCEARMOR,45168
JID_AXARMOR,45304
JID_SWORDARMOR,45440
JID_SWORDARMOR_F,45576
JID_GLORYDUX,45712
JID_GREATDUX,45848
JID_BLADEDUX,45984
JID_BLADEDUX_F,46120
JID_GLORYDUX_SP,46256
JID_GREATDUX_SP,46392
JID_BLADEDUX_SP,46528
JID_MARSHAL_L,46664
JID_MARSHAL_A,46800
JID_MARSHAL_S/F,46936
JID_MARSHAL_Z,47072
JID_DARKKNIGHT,47208
JID_THIEF,47344
JID_ROGUE,47480
JID_ROGUE_F,47616
JID_ESPION,47752
JID_ESPION_F,47888
JID_ASSASSIN,48024
JID_BANDIT,48160
JID_FIREMAGE,48296
JID_THUNDERMAGE,48432
JID_THUNDERMAGE_F,48568
JID_WINDMAGE,48704
JID_LIGHTMAGE,48840
JID_FIRESAGE,48976
JID_FIRESAGE_F,49112
JID_THUNDERSAGE,49248
JID_THUNDERSAGE_F,49384
JID_WINDSAGE,49520
JID_LIGHTSAGE,49656
JID_DARKSAGE,49792
JID_FIRESAGE_SP,49928
JID_THUNDERSAGE_SP,50064
JID_WINDSAGE_SP,50200
JID_ARCHSAGE_F,50336
JID_ARCHSAGE_F/F,50472
JID_ARCHSAGE_T,50608
JID_ARCHSAGE_T/F,50744
JID_ARCHSAGE_W,50880
JID_SHAMAN,51016
JID_CAESER,51152
JID_CHANCELLOR,51288
JID_DRUID,51424
JID_DRUID_SP,51560
JID_SUMMONER,51696
JID_PRIEST,51832
JID_PRIEST_F,51968
JID_BISHOP,52104
JID_BISHOP_F,52240
JID_BISHOP_SP,52376
JID_SAINT,52512
JID_SAINT_F,52648
JID_SAINT_SP,52784
JID_CLERIC,52920
JID_VALKYRIA,53056
JID_SWORDKNIGHT,53192
JID_LANCEKNIGHT,53328
JID_LANCEKNIGHT_F,53464
JID_AXEKNIGHT,53600
JID_BOWKNIGHT,53736
JID_BLADEKNIGHT,53872
JID_GLORYKNIGHT,54008
JID_GLORYKNIGHT_F,54144
JID_GREATKNIGHT,54280
JID_GREATKNIGHT_F,54416
JID_ARROWKNIGHT,54552
JID_ARROWKNIGHT_F,54688
JID_BLADEKNIGHT_SP,54824
JID_GLORYKNIGHT_SP,54960
JID_GREATKNIGHT_SP,55096
JID_ARROWKNIGHT_SP,55232
JID_GOLDKNIGHT_S,55368
JID_GOLDKNIGHT_A,55504
JID_GOLDKNIGHT_A/F,55640
JID_SILVERKNIGHT_L,55776
JID_SILVERKNIGHT_L/F,55912
JID_SILVERKNIGHT_B,56048
JID_PEGASUSKNIGHT,56184
JID_FALCONKNIGHT,56320
JID_FALCONKNIGHT_SP,56456
JID_ENLILKNIGHT,56592
JID_QUEEN,56728
JID_DRAGONKNIGHT,56864
JID_DRAGONKNIGHT_F,57000
JID_DRAGONMASTER,57136
JID_DRAGONMASTER_F,57272
JID_DRAGONMASTER_SP,57408
JID_RLINDWURM,57544
JID_RLINDWURM_F,57680
JID_BEASTTRIBE_L,57816
JID_LION,57952
JID_KINGLION_GI,58088
JID_LION_GI,58224
JID_KINGLION,58360
JID_LION_CA,58496
JID_BEASTTRIBE_T,58632
JID_TIGER,58768
JID_BEASTTRIBE_C,58904
JID_CAT,59040
JID_BEASTTRIBE_C/F,59176
JID_CAT_F,59312
JID_BEASTTRIBE_W,59448
JID_WOLF,59584
JID_QUEENWOLF,59720
JID_WOLF_F,59856
JID_BIRDTRIBE_H,59992
JID_HAWK,60128
JID_KINGHAWK,60264
JID_HAWK_TI,60400
JID_BIRDTRIBE_C,60536
JID_CROW,60672
JID_BIRDTRIBE_C/F,60808
JID_CROW_F,60944
JID_KINGCROW,61080
JID_CROW_NA,61216
JID_PRINCEEGRET,61352
JID_EGRET,61488
JID_PRINCEEGRET_RA,61624
JID_EGRET_RA,61760
JID_PRINCESSEGRET,61896
JID_EGRET_LE,62032
JID_DRAGONTRIBE_R,62168
JID_REDDRAGON,62304
JID_DRAGONTRIBE_R/F,62440
JID_REDDRAGON_F,62576
JID_DRAGONTRIBE_W,62712
JID_WHITEDRAGON,62848
JID_DRAGONKING,62984
JID_BLACKDRAGON,63120
JID_DRAGONPRINCE,63256
JID_BLACKDRAGON_KU,63392
