file,Achieve_CLEAR_BONUS,pointer_loc
C0101.cmb,2614,6917
C0102.cmb,5393,17073
C0103.cmb,2358,6481
C0104.cmb,2699,7955
C0105.cmb,3510,9607
C0106.cmb,3963,11159
C0107.cmb,5039,16455
C0108.cmb,4368,13263
C0109.cmb,5872,19775
C0110.cmb,2799,6883
C0111.cmb,7341,33359
C0201.cmb,3747,10007
C0202.cmb,3103,9011
C0203.cmb,3637,10575
C0204.cmb,3433,9171
C0205.cmb,5251,13043
C0301.cmb,3819,10439
C0302.cmb,2976,7479
C0303.cmb,3458,8347
C0304.cmb,4004,13055
C0305.cmb,4014,10879
C0306.cmb,2588,6291
C0307.cmb,4310,11107
C0308.cmb,5507,14555
C0309.cmb,3848,14231
C0310.cmb,2894,10267
C0311.cmb,4312,12299
C0312.cmb,3390,8607
C0313.cmb,5760,17739
C0314.cmb,6719,21483
C0315.cmb,9273,29143
C0401.cmb,5970,16303
C0402.cmb,3023,8467
C0403.cmb,3091,8279
C0404.cmb,4048,10659
C0405.cmb,4219,11095
C0406.cmb,5015,12679
C0407a.cmb,7454,20939
C0407b.cmb,5640,21139
C0407c.cmb,6098,19299
C0407d.cmb,5640,22571
