GLARE,SID_EVILEYE
INSIGHT,SID_INSIGHT
BLESSING,SID_BLESSING
VIGILANCE,SID_VIGILANCE
ADEPT,SID_ADEPT
BEASTFOE,SID_BEASTBUSTER
BIRDFOE,SID_BIRDBUSTER
BLOODTIDE,SID_REDWAVE
BOON,SID_BOON
CANCEL,SID_CANCEL
CELERITY,SID_CELERITY
CORROSION,SID_CORROSION
COUNTER,SID_COUNTER
DAUNT,SID_DAUNT
DISARM,SID_RELEASE
DRAGONFOE,SID_DRAGONBUSTER
FORTUNE,SID_LUCKY
HOWL,SID_HOWL
IMBUE,SID_CURE
MAELSTROM,SID_VORTEX
MIRACLE,SID_MIRACLE
NIGHTTIDE,SID_BLACKWAVE
NIHIL,SID_NIHIL
NULLIFY,SID_EXPERT
PASS,SID_THROUGH
PAVISE,SID_PAVIS
QUICKCLAW,SID_SONIC
RENEWAL,SID_RENEWAL
RESOLVE,SID_RESOLVE
SHRIEK,SID_CALL
VANTAGE,SID_VANTAGE
WHITEPOOL,SID_WHITEWAVE
WRATH,SID_WRATH
