JID_SI1	MYRM
JID_LI1	SOLDIER
JID_AI1	FIGHTER
JID_BI1	ARCHER
JID_KI1	THIEF
JID_AI0	BANDIT
JID_AA1	AXEARMOR
JID_LA1	LANCEARMOR
JID_SA1	SWORDARMOR
JID_FI1	FIREMAGE
JID_TI1	THUNDERMAGE
JID_WI1	WINDMAGE
JID_MI1	LIGHTMAGE
JID_HI1	PRIEST
JID_SM1	SWORDKNIGHT
JID_LM1	LANCEKNIGHT
JID_AM1	AXEKNIGHT
JID_BM1	BOWKNIGHT
JID_LF1	PEGASUSKNIGHT
JID_AF1	WYVERNKNIGHT
JID_SU2	HERO
JID_SI2	SWORDMASTER
JID_LI2	HALBERDIER
JID_AI2	FIGHTER
JID_BI2	SNIPER
JID_KI2	ROGUE
JID_AA2	AXEGEN
JID_LA2	LANCEGEN
JID_SA2	SWORDGEN
JID_FI2	FIRESAGE
JID_TI2	THUNDERSAGE
JID_WI2	WINDSAGE
JID_MI2	LIGHTSAGE
JID_DU2	DARKSAGE
JID_DI2	DRUID
JID_HI2	BISHOP
JID_HU5	CLERIC
JID_SM2	SWORDPAL
JID_AM2	AXEPAL
JID_LM2	LANCEPAL
JID_BM2	BOWPAL
JID_LF2	FALCOKNIGHT
JID_AF2	DRAGONMASTER
JID_1T0	TIGER
JID_1C0	CAT
JID_1W0	WOLF
JID_1B0	HAWK
JID_1R0	RAVEN
JID_1L0	LION
JID_1DR	REDDRAGON
JID_1DW	WHITEDRAGON
JID_1DB	BLACKDRAGON
JID_SIS	SWORDMASTER_SP
JID_LIS	HALBERDIER_SP
JID_AIS	WARRIOR_SP
JID_BIS	SNIPER_SP
JID_AAS	AXEGEN_SP
JID_LAS	LANCEGEN_SP
JID_SAS	SWORDGEN_SP
JID_SMS	SWORDPAL_SP
JID_AMS	AXEPAL_SP
JID_LMS	LANCEPAL_SP
JID_BMS	BOWPAL_SP
JID_LFS	FALCOKNIGHT_SP
JID_AFS	DRAGONMASTER_SP
JID_FIS	FIRESAGE_SP
JID_TIS	THUNDERSAGE_SP
JID_WIS	WINDSAGE_SP
JID_DIS	DRUID_SP
JID_HIS	BISHOP_SP
JID_FSP	FIRESPIRIT
JID_TSP	THUNDERSPIRIT
JID_WSP	WINDSPIRIT
JID_SU3	VANGUARD
JID_SI3	TRUEBLADE
JID_LI3	SENTINAL
JID_AI3	REAVER
JID_BI3	MARKSMAN
JID_KI3	WHISPER
JID_KU3	ASSASSIN
JID_AA3	MARSHAL_A
JID_LA3	MARSHAL_L
JID_SA0	BLACKKNIGHT
JID_SM3	GOLDKNIGHT_S
JID_AM3	GOLDKNIGHT_A
JID_LM3	SILVERKNIGHT_L
JID_BM6	SILVERKNIGHT_B
JID_LF3	SERAPHKNIGHT
JID_SU6	QUEEN
JID_AF3	DRAGONLORD
JID_FI3	ARCHSAGE_F
JID_DU3	ARCHSAGE_D
JID_TI6	ARCHSAGE_T
JID_WI3	ARCHSAGE_W
JID_MI3	PRIESTESS
JID_FU6	EMPRESS
JID_MU3	CHANCELLOR
JID_DI3	SUMMONER
JID_HI3	SAINT
JID_HU6	VALKYRIE
